TeamKey,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc977,23.0,6.0,5.0,1.0,675.0,294.0,2523.0,305.0
frc1413,23.0,7.0,5.0,0.0,640.0,305.0,2378.0,460.0
frc3258,22.0,7.0,5.0,0.0,715.0,284.0,2566.0,305.0
frc2534,22.0,6.0,6.0,0.0,700.0,301.0,2727.0,295.0
frc3455,21.0,5.0,6.0,1.0,605.0,341.0,2460.0,405.0
frc401,21.0,7.0,5.0,0.0,555.0,331.0,2480.0,375.0
frc3361,21.0,6.0,5.0,1.0,495.0,297.0,2174.0,260.0
frc1086,21.0,5.0,7.0,0.0,625.0,384.0,2545.0,340.0
frc1080,21.0,7.0,5.0,0.0,720.0,287.0,2410.0,350.0
frc540,20.0,7.0,5.0,0.0,745.0,279.0,2475.0,450.0
frc6802,20.0,5.0,6.0,1.0,630.0,348.0,2441.0,280.0
frc619,20.0,7.0,5.0,0.0,615.0,264.0,2313.0,295.0
frc3359,20.0,6.0,6.0,0.0,580.0,279.0,2041.0,320.0
frc2890,19.0,5.0,7.0,0.0,590.0,278.0,2453.0,280.0
frc1123,17.0,5.0,7.0,0.0,560.0,275.0,2268.0,245.0
frc4505,15.0,4.0,8.0,0.0,570.0,283.0,2124.0,395.0
frc1598,15.0,4.0,8.0,0.0,480.0,301.0,1865.0,275.0
frc6194,15.0,5.0,6.0,1.0,685.0,256.0,2151.0,440.0
frc6543,15.0,5.0,6.0,1.0,675.0,252.0,2020.0,395.0
frc5279,14.0,4.0,8.0,0.0,740.0,268.0,1945.0,375.0
frc4466,14.0,3.0,9.0,0.0,630.0,295.0,1848.0,360.0
frc3136,13.0,3.0,9.0,0.0,740.0,299.0,2109.0,265.0
frc3939,12.0,2.0,10.0,0.0,610.0,288.0,2144.0,270.0
frc539,12.0,3.0,9.0,0.0,535.0,259.0,1870.0,260.0
frc2910,32.0,12.0,0.0,0.0,780.0,367.0,3310.0,475.0
frc2928,29.0,9.0,3.0,0.0,680.0,408.0,2864.0,320.0
frc3218,27.0,11.0,1.0,0.0,605.0,327.0,2974.0,325.0
frc2522,26.0,10.0,2.0,0.0,665.0,413.0,3141.0,425.0
frc3663,24.0,9.0,3.0,0.0,635.0,251.0,2699.0,365.0
frc1983,24.0,8.0,3.0,1.0,510.0,296.0,2768.0,365.0
frc4911,23.0,8.0,4.0,0.0,565.0,347.0,2950.0,395.0
frc4077,23.0,7.0,5.0,0.0,545.0,358.0,2655.0,380.0
frc4488,22.0,7.0,4.0,1.0,680.0,373.0,2771.0,385.0
frc2930,21.0,7.0,5.0,0.0,660.0,301.0,2578.0,340.0
frc2903,21.0,9.0,3.0,0.0,505.0,262.0,2622.0,310.0
frc4309,19.0,4.0,7.0,1.0,720.0,309.0,1953.0,240.0
frc4450,19.0,6.0,6.0,0.0,635.0,292.0,2259.0,460.0
frc5827,19.0,6.0,5.0,1.0,495.0,293.0,2366.0,345.0
frc5748,18.0,6.0,6.0,0.0,610.0,285.0,2214.0,320.0
frc1294,18.0,7.0,5.0,0.0,560.0,254.0,1778.0,295.0
frc3070,17.0,4.0,8.0,0.0,600.0,341.0,2249.0,400.0
frc4060,17.0,6.0,6.0,0.0,540.0,262.0,2223.0,395.0
frc2412,17.0,7.0,5.0,0.0,620.0,254.0,2358.0,290.0
frc4173,16.0,5.0,6.0,1.0,525.0,265.0,2169.0,300.0
