,Unnamed: 0,Unnamed: 0.1,key,nickname,rookie_year,state_prov,team_number,events,OPR,DPR,CCWM
108,108,179,frc226,Hammerheads,1999.0,Michigan,226,"['2018inmis', '2018micmp4', '2018mifor', '2018migay', '2018mitry']",140.51583268476597,105.39998579417936,35.115846890586695
109,109,181,frc228,GUS Robotics,1999.0,Connecticut,228,"['2018ctsct', '2018ctwat']",137.7577047670337,101.96108163110776,35.79662313592597
110,110,182,frc229,Division By Zero,1999.0,New York,229,"['2018nysu', '2018nytr']",101.48603376238714,104.67081283039133,-3.1847790680042074
111,111,183,frc230,Gaelhawks,1999.0,Connecticut,230,"['2018cthar', '2018ctsct', '2018ctwat', '2018necmp']",222.16470899674076,29.879933779247555,192.28477521749315
112,112,184,frc231,High Voltage,1998.0,Texas,231,"['2018txho', '2018txpa']",99.37249899388452,125.9781108446842,-26.605611850799708
113,113,186,frc233,The Pink Team,1999.0,Florida,233,"['2018flor', '2018mnmi']",155.34173611904345,39.195494805514706,116.14624131352888
114,114,187,frc234,Cyber Blue,1999.0,Indiana,234,"['2018incmp', '2018inmis', '2018inpla', '2018ohmv']",111.09805327900204,54.45829439046783,56.63975888853428
115,115,189,frc236,Techno-Ticks,1999.0,Connecticut,236,"['2018cmpmi', '2018cthar', '2018ctwat']",126.97067074378032,87.35818043222795,39.61249031155235
116,116,190,frc237,Black Magic Robotics,1999.0,Connecticut,237,"['2018ctwat', '2018melew', '2018necmp']",141.48963540939286,92.9533950452435,48.53624036414943
117,117,191,frc238,Crusaders,1999.0,New Hampshire,238,"['2018mabos', '2018marea', '2018necmp', '2018nhgrs', '2018week0']",300.4224570340877,87.71676110189915,212.7056959321889
118,118,193,frc240,TEMPEST,1999.0,Michigan,240,"['2018mibel', '2018miwat']",37.44103234825224,156.26194583912002,-118.8209134908677
119,119,195,frc244,RoboDawgs 3D,1999.0,Michigan,244,"['2018hiho', '2018miken', '2018misjo']",93.0934282859309,104.44521508983566,-11.351786803904707
120,120,196,frc245,Adambots,1999.0,Michigan,245,"['2018micmp3', '2018miesc', '2018miket', '2018mitry']",166.57090486195906,42.96264603023406,123.60825883172487
121,121,197,frc246,Overclocked,1999.0,Massachusetts,246,"['2018mabos', '2018marea']",89.0405844646748,91.48238996488364,-2.4418055002087726
122,122,198,frc247,Da Bears,1999.0,Michigan,247,"['2018cmpmi', '2018mibel', '2018mimar', '2018ohmv']",130.6461044951908,86.91649150223672,43.72961299295405
123,123,201,frc250,The Dynamos,1999.0,New York,250,"['2018cmpmi', '2018nytr', '2018nyut']",79.82768629860813,107.51982795638034,-27.69214165777222
124,124,203,frc253,Boba Bots,1999.0,California,253,"['2018casf', '2018casj']",60.128266361723696,124.70923533010766,-64.58096896838389
125,125,204,frc254,The Cheesy Poofs,1999.0,California,254,"['2018azfl', '2018casj', '2018cmptx']",227.72470433539644,25.96461844270449,201.76008589269185
126,126,206,frc256,Robo-Rams,1999.0,California,256,['2018casj'],24.25736006748256,132.5985296072261,-108.34116953974365
127,127,212,frc263,Sachem Aftershock,1999.0,New York,263,"['2018nyli2', '2018nyrer', '2018scmb']",61.2600331693251,16.441391778585622,44.81864139073947
128,128,218,frc269,CooneyTech,1999.0,Wisconsin,269,"['2018ilch', '2018wimi']",180.08489655249656,29.547010826018226,150.5378857264784
129,129,220,frc271,Mechanical Marauders,1999.0,New York,271,"['2018nyli2', '2018nyli', '2018nyrer', '2018nyro']",47.85817688624105,83.6357364426398,-35.777559556398806
130,130,221,frc272,Cyber-Crusaders,1998.0,Pennsylvania,272,"['2018cmpmi', '2018mrcmp', '2018njtab', '2018pawch']",107.52952671322252,127.67349842742412,-20.14397171420154
131,131,226,frc279,Tech Fusion,1999.0,Ohio,279,"['2018ohmv', '2018wimi']",129.90479846822043,94.18727426184381,35.71752420637658
132,132,227,frc280,TnT,1999.0,Michigan,280,"['2018migib', '2018mitry']",42.81872234998622,134.61216730291795,-91.79344495293176
133,133,228,frc281,The GreenVillains,1999.0,South Carolina,281,"['2018lake', '2018scmb']",114.27390319077017,90.77028507323271,23.503618117537467
134,134,230,frc283,The Generals,1999.0,South Carolina,283,"['2018scmb', '2018tnkn']",73.20967157995156,98.73376683709927,-25.524095257147643
135,135,232,frc287,Floyd,1999.0,New York,287,"['2018nyli2', '2018nyut']",55.9483653870905,34.718675371145856,21.229690015944694
136,136,233,frc288,The RoboDawgs,1999.0,Michigan,288,"['2018hiho', '2018miken', '2018misjo']",124.34638937049833,114.21274946430384,10.133639906194542
137,137,235,frc291,CIA - Creativity In Action,1999.0,Pennsylvania,291,"['2018cmpmi', '2018ohcl', '2018ohmv']",173.68036367210618,32.46164623702191,141.21871743508427
138,138,236,frc292,PantherTech,1999.0,Indiana,292,"['2018inmis', '2018inwla']",101.83228412926098,111.4015154520925,-9.569231322831449
139,139,237,frc293,Team S.P.I.K.E.,1999.0,New Jersey,293,"['2018mrcmp', '2018njfla', '2018njski']",104.83950134544251,90.9781010048555,13.861400340586998
140,140,238,frc294,Beach Cities Robotics,1999.0,California,294,"['2018caav', '2018cair', '2018cmptx']",162.82701836372397,65.35923779637966,97.46778056734422
141,141,239,frc295,Grizzly Robotics Team,1999.0,California,295,"['2018cada', '2018cafr']",103.43118196316703,69.51897868711339,33.91220327605376
142,142,240,frc296,Northern Knights,1999.0,Québec,296,"['2018nyli', '2018qcmo']",105.6448454103973,70.5695690201924,35.075276390204884
143,143,243,frc299,Valkyrie Robotics,1998.0,California,299,"['2018cafr', '2018cair']",48.65603421197454,109.89156807341513,-61.2355338614405
144,144,246,frc302,The Dragons,1999.0,Michigan,302,"['2018cmpmi', '2018micmp2', '2018milan', '2018miliv', '2018ohmv']",193.4519795872344,44.94679881963525,148.50518076759937
145,145,247,frc303,The T.E.S.T. Team,1999.0,New Jersey,303,"['2018cmpmi', '2018mrcmp', '2018njbri', '2018njfla', '2018paca']",159.7907103222468,58.8445449754183,100.94616534682858
146,146,250,frc308,The Monsters,1999.0,Michigan,308,"['2018mimil', '2018mitry']",130.63778303743987,98.25846310184639,32.379319935593514
147,147,254,frc313,The Bionic Zebras,1999.0,Michigan,313,"['2018mibel', '2018miwat']",76.21344534205247,90.33632408339344,-14.122878741340996
